# lint-gate baseline — clippy warning counts per crate/lint (grandfathered; may never grow).
# MACHINE-WRITTEN. Regenerate (snapshot current state — defend the diff in review):
#   cargo run -p xtask -- lint-gate --update-baseline
# Bank improvements only (never adds, never raises — safe to run anytime):
#   cargo run -p xtask -- lint-gate --tighten
43	sovereign-core/clippy::cognitive_complexity
1	sovereign-core/clippy::collapsible_match
3	sovereign-core/clippy::disallowed_methods
1	sovereign-core/clippy::double_ended_iterator_last
12	sovereign-core/clippy::expect_used
1	sovereign-core/clippy::map_identity
29	sovereign-core/clippy::too_many_lines
10	sovereign-core/clippy::unnecessary_sort_by
23	sovereign-core/clippy::unwrap_used
1	sovereign-core/clippy::while_let_loop
16	sovereign-core/dead_code
6	sovereign-core/unused_assignments
1	sovereign-core/unused_mut
18	sovereign-desktop/clippy::cognitive_complexity
22	sovereign-desktop/clippy::disallowed_methods
7	sovereign-desktop/clippy::expect_used
1	sovereign-desktop/clippy::manual_checked_ops
4	sovereign-desktop/clippy::too_many_lines
3	sovereign-desktop/clippy::unnecessary_lazy_evaluations
1	sovereign-desktop/clippy::unnecessary_sort_by
25	sovereign-desktop/clippy::unwrap_used
1	sovereign-desktop/dead_code
2	sovereign-eval/clippy::cognitive_complexity
6	sovereign-eval/clippy::expect_used
1	sovereign-eval/clippy::unwrap_used
2	sovereign-gliner/clippy::cognitive_complexity
1	sovereign-gliner/clippy::disallowed_methods
1	sovereign-gliner/clippy::expect_used
16	sovereign-inference/clippy::cognitive_complexity
2	sovereign-inference/clippy::disallowed_methods
71	sovereign-inference/clippy::expect_used
3	sovereign-inference/clippy::explicit_counter_loop
2	sovereign-inference/clippy::identity_op
1	sovereign-inference/clippy::manual_repeat_n
1	sovereign-inference/clippy::needless_range_loop
5	sovereign-inference/clippy::too_many_lines
11	sovereign-inference/clippy::unwrap_used
1	sovereign-mesh/clippy::cloned_ref_to_slice_refs
36	sovereign-mesh/clippy::cognitive_complexity
2	sovereign-mesh/clippy::disallowed_methods
43	sovereign-mesh/clippy::expect_used
1	sovereign-mesh/clippy::manual_contains
2	sovereign-mesh/clippy::neg_cmp_op_on_partial_ord
1	sovereign-mesh/clippy::print_literal
1	sovereign-mesh/clippy::redundant_closure
10	sovereign-mesh/clippy::too_many_lines
2	sovereign-mesh/clippy::unnecessary_sort_by
108	sovereign-mesh/clippy::unwrap_used
1	sovereign-mesh/clippy::useless_conversion
14	sovereign-mesh/dead_code
1	sovereign-mesh/unused_imports
1	sovereign-mesh/unused_variables
4	sovereign-meshapp/clippy::expect_used
1	sovereign-meshapp/clippy::explicit_counter_loop
2	sovereign-meshapp/clippy::filter_next
1	sovereign-meshapp/clippy::match_like_matches_macro
3	sovereign-meshapp/clippy::unnecessary_sort_by
6	sovereign-meshapp/clippy::unwrap_used
1	sovereign-pipeline/clippy::cognitive_complexity
1	sovereign-pipeline/clippy::disallowed_methods
3	sovereign-pipeline/clippy::unwrap_used
1	sovereign-recipe-author/clippy::expect_used
1	sovereign-server/clippy::disallowed_methods
7	sovereign-server/clippy::expect_used
1	sovereign-server/clippy::too_many_lines
2	sovereign-server/dead_code
2	sovereign-store/clippy::expect_used
1	sovereign-store/clippy::unnecessary_sort_by
46	sovereign-store/clippy::unwrap_used
1	sovereign-tools-base/clippy::cognitive_complexity
1	sovereign-tools-base/clippy::disallowed_methods
1	sovereign-tools-base/clippy::double_ended_iterator_last
1	sovereign-tools-base/clippy::expect_used
4	sovereign-tools-base/clippy::unwrap_used
1	sovereign-tools/clippy::cloned_ref_to_slice_refs
26	sovereign-tools/clippy::cognitive_complexity
4	sovereign-tools/clippy::disallowed_methods
48	sovereign-tools/clippy::expect_used
1	sovereign-tools/clippy::manual_checked_ops
1	sovereign-tools/clippy::needless_range_loop
1	sovereign-tools/clippy::single_match
11	sovereign-tools/clippy::too_many_lines
7	sovereign-tools/clippy::unnecessary_sort_by
85	sovereign-tools/clippy::unwrap_used
10	sovereign-tools/dead_code
3	sovereign-work-atlas/clippy::expect_used
1	sovereign-workflow-host/clippy::cognitive_complexity
1	sovereign-workflow-host/clippy::expect_used
1	sovereign-workflow/clippy::manual_flatten
1	sovereign-workflow/clippy::unwrap_used
1	xtask/clippy::expect_used
