target_words	prompt_tokens	anon_before	anon_after	anon_step	pinned_warn	predicted_bytes
3300	3333	6.877	7.405	0.528	0	3310602272
3500	3533	7.408	7.835	0.427	0	3509258272
3600	3633	7.838	8.220	0.382	0	3608586272
3700	3733	8.223	12.697	4.474	1	3707914272
3800	3833	12.700	13.216	0.516	1	3807242272
4000	4033	13.219	10.917	-2.302	1	4005898272
