target_words	prompt_tokens	anon_before	anon_after	anon_step	pinned_warn	predicted_bytes
2600	2633	7.553	8.368	0.815	0	2615306272
2800	2833	8.371	9.140	0.769	0	2813962272
2900	2933	9.144	7.001	-2.143	0	2913290272
3000	3033	7.001	11.156	4.155	1	3012618272
3100	3133	11.156	11.627	0.471	1	3111946272
3300	3333	11.627	11.697	0.070	1	3310602272
