target_words	prompt_tokens	anon_before	anon_after	anon_step	pinned_warn	predicted_bytes
1500	1517	8.513	8.810	0.297	0	1506805792
3000	3017	8.814	9.174	0.360	0	2996725792
4000	4017	9.177	6.648	-2.529	0	3990005792
4400	4417	6.652	6.970	0.318	0	4387317792
5200	5217	6.970	11.060	4.090	1	5181941792
9000	9017	11.060	14.616	3.556	1	8956405792
