target_words	prompt_tokens	anon_before	anon_after	anon_step	pinned_warn	predicted_bytes
2000	2033	0.002	0.002	0.000	0	2019338272
3500	3533	0.002	0.002	0.000	0	3509258272
4100	4133	0.002	0.002	0.000	1	4105226272
4300	4333	0.002	0.002	0.000	1	4303882272
4500	4533	0.002	0.002	0.000	1	4502538272
5000	5033	0.002	0.002	0.000	1	4999178272
6000	6033	0.002	0.002	0.000	1	5992458272
9000	9033	0.002	0.002	0.000	1	8972298272
