t_s	gtt_GiB	cg_GiB	rss_GiB	majflt	minflt
1	18.61	25.50	2.90	0	1182458
2	23.81	25.95	2.99	0	1212642
3	68.75	26.34	2.99	0	1212759
4	94.84	19.25	3.06	0	1230122
5	94.84	22.99	7.32	4	2348114
6	94.84	23.00	11.25	4	3398887
7	94.84	22.98	15.93	4	4625770
8	94.84	23.00	17.24	26645	5052535
9	94.84	23.60	18.28	27222	5536295
10	94.84	22.33	18.82	28012	5993494
11	94.84	22.20	19.70	30685	6601670
12	94.84	21.97	0.00	36610	6630407
