2	16.39	7.19	0	90.9
4	16.39	7.28	0	90.7
6	53.34	7.28	0	55.0
8	69.04	6.64	48338	38.6
10	71.17	6.20	56172	38.2
12	76.76	5.75	59091	33.2
14	89.95	5.75	60736	20.1
16	92.62	10.10	60794	12.8
18	92.62	16.25	60995	6.1
20	92.62	19.99	61138	1.1
22	92.62	0.00	61583	0.6
24	5.07	0.00	61583	110.3
