tp	kind	old_status	call	call_arity	old_arity	new_arity	test_path	cfg_test	same_crate	symbol	file	line	commit
True	new_function	absent	True	2	None	2	False	False	True	wire_fault	commonwealth/crates/commonwealth-test-harness/src/fault/proxy.rs	48	4af70c1af540e6ad7b71a629ac03071132d15662
False	new_function	absent	True	1	None	1	False	True	True	is_loopback	commonwealth/crates/oicp-conformance/src/args.rs	142	8843f0dbecfd4b81a038ca6cf3a68b11d0d82b4b
True	new_function	absent	True	1	None	1	False	False	True	is_loopback	commonwealth/crates/oicp-conformance/src/checks.rs	681	8843f0dbecfd4b81a038ca6cf3a68b11d0d82b4b
False	new_function	absent	True	1	None	1	False	True	True	is_loopback	commonwealth/crates/oicp-conformance/src/args.rs	141	8843f0dbecfd4b81a038ca6cf3a68b11d0d82b4b
False	new_function	absent	True	1	None	1	False	True	True	is_loopback	commonwealth/crates/oicp-conformance/src/args.rs	140	8843f0dbecfd4b81a038ca6cf3a68b11d0d82b4b
False	new_function	absent	True	1	None	1	False	True	True	is_loopback	commonwealth/crates/oicp-conformance/src/args.rs	143	8843f0dbecfd4b81a038ca6cf3a68b11d0d82b4b
False	new_function	absent	True	1	None	1	False	True	True	for_feature	corpus-engine-notes/src/note.rs	346	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	1	None	1	False	True	True	for_feature	corpus-engine-notes/src/note.rs	353	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	1	None	1	False	False	False	for_feature	sovereign/crates/sovereign-tools/src/code/brief.rs	486	27c0fe0313913b01480c572af649a3ac1c9a248f
False	return_or_generics_only	same_path	True	1	1	1	False	False	False	open_todos	sovereign/crates/sovereign-cli-dev/src/project_cmd/serve.rs	273	27c0fe0313913b01480c572af649a3ac1c9a248f
True	return_or_generics_only	same_path	True	1	1	1	False	False	False	open_todos	sovereign/crates/sovereign-tools/src/code/read_notes.rs	470	27c0fe0313913b01480c572af649a3ac1c9a248f
False	return_or_generics_only	same_path	True	1	1	1	False	False	False	open_todos	sovereign/crates/sovereign-cli/src/reflect_cmd.rs	177	27c0fe0313913b01480c572af649a3ac1c9a248f
False	return_or_generics_only	same_path	True	1	1	1	False	True	True	open_todos	corpus-engine-notes/src/notes.rs	5168	27c0fe0313913b01480c572af649a3ac1c9a248f
False	return_or_generics_only	same_path	True	1	1	1	False	False	False	open_todos	sovereign/crates/sovereign-cli/src/reflect_cmd.rs	371	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	False	True	is_reachable	corpus-engine-scip/src/converge.rs	681	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	False	True	is_reachable	corpus-engine-scip/src/converge.rs	504	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	True	True	is_reachable	corpus-engine-scip/src/converge.rs	1053	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	False	True	is_reachable	corpus-engine-scip/src/converge.rs	493	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	True	True	is_reachable	corpus-engine-scip/src/converge.rs	1055	27c0fe0313913b01480c572af649a3ac1c9a248f
True	new_function	absent	True	0	None	0	False	False	False	is_reachable	sovereign/crates/sovereign-cli-dev/src/refactor_cmd/schedule.rs	545	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	True	0	None	0	False	False	True	is_reachable	corpus-engine-scip/src/converge.rs	492	27c0fe0313913b01480c572af649a3ac1c9a248f
False	new_function	absent	False	None	None	3	False	False	True	cross_crate_reached	corpus-engine-scip/src/lib.rs	74	27c0fe0313913b01480c572af649a3ac1c9a248f
